subregion,year,native_class,pixel_count,area_ha
ISRO,2017,development,1868,168.12
ISRO,2017,harvest,15091,1358.19
MISS,1990,development,5766,518.94
MISS,1991,development,8779,790.11
MISS,1992,development,6887,619.83
MISS,1993,development,10226,920.34
MISS,1994,development,9546,859.14
MISS,1995,development,10752,967.68
MISS,1996,development,16590,1493.1
MISS,1996,fire,10,0.9
MISS,1997,development,8598,773.82
MISS,1998,development,13128,1181.52
MISS,1999,development,13050,1174.5
MISS,2000,development,19306,1737.54
MISS,2000,fire,18,1.62
MISS,2001,development,9240,831.6
MISS,2002,blowdown,31,2.79
MISS,2002,development,5293,476.37
MISS,2003,development,9937,894.33
MISS,2003,unknown,194,17.46
MISS,2004,agriculture,20,1.8
MISS,2004,development,5111,459.99
MISS,2005,development,6642,597.78
MISS,2005,flooding,20,1.8
MISS,2005,unknown,28,2.52
MISS,2006,development,10778,970.02
MISS,2007,development,3883,349.47
MISS,2007,unknown,15,1.35
MISS,2008,development,1192,107.28
MISS,2008,flooding,44,3.96
MISS,2009,development,689,62.01
MISS,2010,development,993,89.37
MISS,2011,development,1040,93.6
MISS,2011,flooding,22,1.98
MISS,2012,development,2102,189.18
MISS,2013,development,1802,162.18
MISS,2014,development,1275,114.75
MISS,2014,unknown,19,1.71
MISS,2015,agriculture,162,14.58
MISS,2015,development,2914,262.26
MISS,2015,harvest,34,3.06
MISS,2015,insect_disease_mort,48,4.32
MISS,2015,unknown,26,2.34
MISS,2016,development,2207,198.63
MISS,2016,insect_disease_mort,64,5.76
MISS,2016,unknown,14,1.26
MISS,2017,agriculture,566,50.94
MISS,2017,development,5035,453.15
MISS,2017,flooding,48,4.32
MISS,2017,harvest,72,6.48
MISS,2017,insect_disease_mort,216,19.44
MISS,2017,unknown,247,22.23
MISS,2018,development,3342,300.78
MISS,2018,flooding,144,12.96
MISS,2018,harvest,23,2.07
MISS,2018,unknown,92,8.28
MISS,2019,agriculture,158,14.22
MISS,2019,development,3290,296.1
MISS,2019,flooding,57,5.13
MISS,2019,harvest,88,7.92
MISS,2019,unknown,66,5.94
SACN,1990,development,1851,166.59
SACN,1990,harvest,8649,778.41
SACN,1991,development,1451,130.59
SACN,1991,harvest,9635,867.15
SACN,1991,unknown,177,15.93
SACN,1992,agriculture,40,3.6
SACN,1992,beaver,17,1.53
SACN,1992,development,2079,187.11
