subregion,year,native_class,pixel_count,area_ha,spatial_prevalence_pct
NOCA,2002,Blowdown,28,2.52,0.871
NOCA,2002,Development,9,0.81,0.28
NOCA,2002,Fire,9,0.81,0.28
NOCA,2003,Fire,19328,1739.52,79.32
NOCA,2003,Defoliation,4769,429.21,19.572
NOCA,2003,Mass Movement,103,9.27,0.423
NOCA,2003,Avalanche,71,6.39,0.291
NOCA,2003,Riparian Change,56,5.04,0.23
NOCA,2003,Clearing,44,3.96,0.181
NOCA,2004,Defoliation,11422,1027.98,36.598
NOCA,2004,Fire,11144,1002.96,35.708
NOCA,2004,Riparian Change,4848,436.32,15.534
NOCA,2004,Mass Movement,3652,328.68,11.702
NOCA,2004,Avalanche,162,14.58,0.519
NOCA,2004,Development,36,3.24,0.115
NOCA,2005,Defoliation,11206,1008.54,92.934
NOCA,2005,Fire,483,43.47,4.006
NOCA,2005,Mass Movement,303,27.27,2.513
NOCA,2005,Riparian Change,46,4.14,0.381
NOCA,2005,Clearing,20,1.8,0.166
NOCA,2006,Fire,51571,4641.39,83.338
NOCA,2006,Defoliation,10356,932.04,16.735
NOCA,2006,Avalanche,170,15.3,0.275
NOCA,2006,Mass Movement,111,9.99,0.179
NOCA,2006,Riparian Change,28,2.52,0.045
NOCA,2006,Clearing,27,2.43,0.044
NOCA,2007,Fire,25184,2266.56,74.3
NOCA,2007,Defoliation,8071,726.39,23.812
NOCA,2007,Mass Movement,580,52.2,1.711
NOCA,2007,Riparian Change,576,51.84,1.699
NOCA,2007,Avalanche,202,18.18,0.596
NOCA,2007,Blowdown,166,14.94,0.49
NOCA,2007,Clearing,63,5.67,0.186
NOCA,2008,Avalanche,1972,177.48,61.664
NOCA,2008,Fire,722,64.98,22.577
NOCA,2008,Mass Movement,225,20.25,7.036
NOCA,2008,Blowdown,189,17.01,5.91
NOCA,2008,Defoliation,69,6.21,2.158
NOCA,2008,Riparian Change,12,1.08,0.375
NOCA,2008,Clearing,9,0.81,0.281
NOCA,2009,Fire,6422,577.98,50.863
NOCA,2009,Avalanche,5408,486.72,42.832
NOCA,2009,Defoliation,487,43.83,3.857
NOCA,2009,Mass Movement,273,24.57,2.162
NOCA,2009,Riparian Change,36,3.24,0.285
NOCA,2010,Fire,10340,930.6,93.642
NOCA,2010,Defoliation,521,46.89,4.718
NOCA,2010,Mass Movement,150,13.5,1.358
NOCA,2010,Blowdown,22,1.98,0.199
NOCA,2010,Avalanche,9,0.81,0.082
NOCA,2011,Avalanche,2106,189.54,74.787
NOCA,2011,Mass Movement,425,38.25,15.092
NOCA,2011,Defoliation,217,19.53,7.706
NOCA,2011,Blowdown,68,6.12,2.415
NOCA,2012,Fire,7118,640.62,82.825
NOCA,2012,Avalanche,1210,108.9,14.08
NOCA,2012,Defoliation,247,22.23,2.874
NOCA,2012,Riparian Change,11,0.99,0.128
NOCA,2012,Blowdown,8,0.72,0.093
NOCA,2013,Fire,1909,171.81,90.474
NOCA,2013,Defoliation,91,8.19,4.313
NOCA,2013,Mass Movement,47,4.23,2.227
NOCA,2013,Avalanche,42,3.78,1.991
NOCA,2013,Riparian Change,21,1.89,0.995
NOCA,2014,Fire,7858,707.22,79.414
NOCA,2014,Avalanche,1377,123.93,13.916
NOCA,2014,Defoliation,406,36.54,4.103
NOCA,2014,Mass Movement,218,19.62,2.203
NOCA,2014,Development,14,1.26,0.141
NOCA,2014,Blowdown,11,0.99,0.111
NOCA,2014,Riparian Change,11,0.99,0.111
NOCA,2015,Fire,135075,12156.75,99.675
NOCA,2015,Defoliation,207,18.63,0.153
NOCA,2015,Mass Movement,154,13.86,0.114
NOCA,2015,Blowdown,42,3.78,0.031
NOCA,2015,Riparian Change,30,2.7,0.022
NOCA,2015,Avalanche,8,0.72,0.006
NOCA,2016,Defoliation,340,30.6,50.671
NOCA,2016,Mass Movement,160,14.4,23.845
NOCA,2016,Blowdown,135,12.15,20.119
NOCA,2016,Fire,27,2.43,4.024
NOCA,2016,Avalanche,9,0.81,1.341
NOCA,2017,Avalanche,118,10.62,65.556
NOCA,2017,Defoliation,62,5.58,34.444
OLYM,1987,Fire,539,48.51,62.967
OLYM,1987,Riparian Change,196,17.64,22.897
OLYM,1987,Blowdown,68,6.12,7.944
OLYM,1987,Coastal Change,30,2.7,3.505
OLYM,1987,Clearing,23,2.07,2.687
OLYM,1988,Mass Movement,44,3.96,57.895
OLYM,1988,Defoliation,23,2.07,30.263
OLYM,1988,Blowdown,9,0.81,11.842
OLYM,1989,Fire,800,72.0,88.594
OLYM,1989,Avalanche,81,7.29,8.97
OLYM,1989,Riparian Change,22,1.98,2.436
OLYM,1990,Riparian Change,486,43.74,71.053
OLYM,1990,Avalanche,161,14.49,23.538
OLYM,1990,Mass Movement,37,3.33,5.409
OLYM,1991,Riparian Change,1842,165.78,66.522
OLYM,1991,Blowdown,729,65.61,26.327
OLYM,1991,Mass Movement,185,16.65,6.681
OLYM,1991,Avalanche,13,1.17,0.469
OLYM,1992,Riparian Change,130,11.7,43.624
OLYM,1992,Blowdown,110,9.9,36.913
OLYM,1992,Fire,38,3.42,12.752
OLYM,1992,Mass Movement,20,1.8,6.711
OLYM,1993,Blowdown,8,0.72,100.0
OLYM,1994,Fire,764,68.76,77.485
OLYM,1994,Blowdown,99,8.91,10.041
OLYM,1994,Avalanche,71,6.39,7.201
OLYM,1994,Riparian Change,39,3.51,3.955
OLYM,1994,Mass Movement,13,1.17,1.318
OLYM,1995,Riparian Change,735,66.15,79.288
OLYM,1995,Blowdown,116,10.44,12.513
OLYM,1995,Mass Movement,56,5.04,6.041
OLYM,1995,Fire,20,1.8,2.157
OLYM,1996,Riparian Change,1658,149.22,90.651
OLYM,1996,Mass Movement,145,13.05,7.928
OLYM,1996,Defoliation,26,2.34,1.422
OLYM,1997,Riparian Change,558,50.22,40.493
OLYM,1997,Mass Movement,296,26.64,21.48
OLYM,1997,Blowdown,269,24.21,19.521
OLYM,1997,Avalanche,208,18.72,15.094
OLYM,1997,Fire,25,2.25,1.814
OLYM,1997,Development,22,1.98,1.597
OLYM,1998,Riparian Change,105,9.45,56.452
OLYM,1998,Avalanche,38,3.42,20.43
OLYM,1998,Blowdown,19,1.71,10.215
OLYM,1998,Ice Damage,12,1.08,6.452
OLYM,1998,Mass Movement,12,1.08,6.452
OLYM,1999,Avalanche,5846,526.14,78.798
OLYM,1999,Fire,800,72.0,10.783
OLYM,1999,Riparian Change,356,32.04,4.798
OLYM,1999,Blowdown,166,14.94,2.237
OLYM,1999,Mass Movement,124,11.16,1.671
OLYM,1999,Ice Damage,103,9.27,1.388
OLYM,1999,Defoliation,24,2.16,0.323
OLYM,2000,Avalanche,362,32.58,52.388
OLYM,2000,Riparian Change,229,20.61,33.14
OLYM,2000,Mass Movement,78,7.02,11.288
OLYM,2000,Defoliation,22,1.98,3.184
OLYM,2001,Mass Movement,28,2.52,54.902
OLYM,2001,Riparian Change,23,2.07,45.098
OLYM,2002,Riparian Change,715,64.35,82.373
OLYM,2002,Avalanche,114,10.26,13.134
OLYM,2002,Mass Movement,32,2.88,3.687
OLYM,2002,Defoliation,7,0.63,0.806
OLYM,2003,Fire,2453,220.77,79.902
OLYM,2003,Riparian Change,465,41.85,15.147
OLYM,2003,Avalanche,63,5.67,2.052
OLYM,2003,Mass Movement,46,4.14,1.498
OLYM,2003,Blowdown,29,2.61,0.945
OLYM,2003,Defoliation,14,1.26,0.456
OLYM,2004,Riparian Change,4641,417.69,92.82
OLYM,2004,Mass Movement,340,30.6,6.8
OLYM,2004,Blowdown,10,0.9,0.2
OLYM,2004,Development,9,0.81,0.18
OLYM,2005,Riparian Change,120,10.8,91.603
OLYM,2005,Mass Movement,11,0.99,8.397
OLYM,2006,Fire,2694,242.46,91.82
OLYM,2006,Mass Movement,118,10.62,4.022
OLYM,2006,Blowdown,93,8.37,3.17
OLYM,2006,Riparian Change,29,2.61,0.988
OLYM,2007,Riparian Change,1780,160.2,49.076
OLYM,2007,Blowdown,1340,120.6,36.945
OLYM,2007,Mass Movement,336,30.24,9.264
OLYM,2007,Fire,112,10.08,3.088
OLYM,2007,Defoliation,37,3.33,1.02
OLYM,2007,Avalanche,11,0.99,0.303
OLYM,2007,Clearing,11,0.99,0.303
OLYM,2008,Blowdown,4555,409.95,56.994
OLYM,2008,Riparian Change,1414,127.26,17.693
OLYM,2008,Avalanche,1139,102.51,14.252
OLYM,2008,Mass Movement,867,78.03,10.848
OLYM,2008,Fire,17,1.53,0.213
OLYM,2009,Fire,4922,442.98,92.138
OLYM,2009,Riparian Change,252,22.68,4.717
OLYM,2009,Mass Movement,97,8.73,1.816
OLYM,2009,Blowdown,50,4.5,0.936
OLYM,2009,Avalanche,11,0.99,0.206
OLYM,2009,Defoliation,10,0.9,0.187
OLYM,2010,Fire,1876,168.84,84.81
OLYM,2010,Riparian Change,259,23.31,11.709
OLYM,2010,Mass Movement,42,3.78,1.899
OLYM,2010,Blowdown,26,2.34,1.175
OLYM,2010,Coastal Change,9,0.81,0.407
OLYM,2011,Fire,4817,433.53,73.948
OLYM,2011,Avalanche,1314,118.26,20.172
OLYM,2011,Riparian Change,223,20.07,3.423
OLYM,2011,Mass Movement,85,7.65,1.305
OLYM,2011,Blowdown,64,5.76,0.982
OLYM,2011,Defoliation,11,0.99,0.169
OLYM,2012,Avalanche,80,7.2,53.333
OLYM,2012,Mass Movement,35,3.15,23.333
OLYM,2012,Riparian Change,35,3.15,23.333
OLYM,2013,Riparian Change,186,16.74,40.523
OLYM,2013,Mass Movement,119,10.71,25.926
OLYM,2013,Avalanche,93,8.37,20.261
OLYM,2013,Defoliation,50,4.5,10.893
OLYM,2013,Clearing,11,0.99,2.397
OLYM,2014,Avalanche,395,35.55,62.599
OLYM,2014,Defoliation,95,8.55,15.055
OLYM,2014,Riparian Change,87,7.83,13.788
OLYM,2014,Mass Movement,45,4.05,7.132
OLYM,2014,Development,9,0.81,1.426
OLYM,2015,Fire,11468,1032.12,95.87
OLYM,2015,Riparian Change,439,39.51,3.67
OLYM,2015,Mass Movement,55,4.95,0.46
OLYM,2016,Fire,13143,1182.87,92.141
OLYM,2016,Riparian Change,983,88.47,6.891
OLYM,2016,Mass Movement,84,7.56,0.589
OLYM,2016,Avalanche,45,4.05,0.315
OLYM,2016,Blowdown,9,0.81,0.063
OLYM,2017,Defoliation,71,6.39,42.262
OLYM,2017,Mass Movement,38,3.42,22.619
OLYM,2017,Riparian Change,36,3.24,21.429
OLYM,2017,Blowdown,23,2.07,13.69
