us_l3code,SURVEY_YEA,DCA_COMMON,area_m2
1,2020,unknown,16.499230307328165
1,2020,unknown,10.248860900242365
1,2020,unknown,508.4954129389439
1,2020,unknown,40.09071838404235
1,2020,unknown,49.34159874759305
1,2020,unknown,167.2231100110916
1,2020,unknown,67.22620970592692
1,2020,unknown,6.728877310123003
1,2020,unknown,40.29851400302729
1,2020,unknown,254.88688631293175
1,2020,unknown,47.32286997654891
1,2020,unknown,61.1923306757064
1,2020,unknown,115.43768306544524
1,2020,unknown,68.03686069405423
1,2020,unknown,45.02133441842833
1,2020,unknown,54.765913089583165
1,2020,unknown,41.13475271239379
1,2020,unknown,27.683217968711652
78,2020,unknown,63.59140266523933
1,2020,unknown,13.582068831703024
1,2020,unknown,72.09385708801798
1,2020,unknown,79.68191253503413
78,2020,unknown,10.412014868640787
78,2020,unknown,32.603995451712244
78,2020,unknown,63.15904540994677
78,2020,unknown,20.58932857482366
78,2020,unknown,14.439900759957839
78,2020,unknown,7.139521855271082
1,2020,unknown,332.4079241657113
1,2020,unknown,17.527281347257293
1,2020,unknown,31.392267915781982
1,2020,unknown,20.189909949676743
1,2020,unknown,8.254914018468025
78,2020,unknown,39.97926670639285
78,2020,unknown,14.2419154515451
78,2020,unknown,7.245371830550563
78,2020,unknown,5.255792480309137
78,2020,unknown,30.965799635339124
78,2020,unknown,18.5191132081762
78,2020,unknown,10.789642428508312
78,2020,unknown,15.47030248521256
1,2020,unknown,5.522792958275181
1,2020,unknown,26.020828003906384
1,2020,unknown,60.26509987528308
1,2020,unknown,9.252226974979973
78,2020,unknown,52.72421351126801
78,2020,unknown,119.16849135406032
78,2020,unknown,25.836903715780313
78,2020,unknown,43.16503855714907
78,2020,unknown,12.10903665009574
78,2020,unknown,33.666548524410814
78,2020,unknown,73.77983920875579
78,2020,unknown,54.54725164810438
78,2020,unknown,24.32278416275194
78,2020,unknown,32.53517238051154
78,2020,unknown,197.11706664731346
78,2020,unknown,73.85290535833214
78,2020,unknown,30.230430808167263
78,2020,unknown,19.686896032827008
78,2020,unknown,35.302280345346084
78,2020,unknown,82.81344617659074
78,2020,unknown,147.9580135377779
78,2020,unknown,77.07601991067183
78,2020,unknown,97.12586366806289
78,2020,unknown,54.36704541910735
78,2020,unknown,76.38849319072888
78,2020,unknown,86.04045887590071
78,2020,unknown,8.098816161537005
78,2020,unknown,16.884924588248552
78,2020,unknown,18.059961643077386
78,2020,unknown,44.5344716263494
78,2020,unknown,20.660501316296504
78,2020,unknown,30.96338426249596
78,2020,unknown,45.512757220278694
78,2020,unknown,41.5885401218937
78,2020,unknown,16.726412865860418
78,2020,unknown,15.306188293840039
78,2020,unknown,17.61416343090963
78,2020,unknown,26.145068803272213
78,2020,unknown,80.47742447653128
78,2020,unknown,22.32264293042197
78,2020,unknown,119.13360539887262
78,2020,unknown,19.893103147085714
78,2020,unknown,19.595364859450235
78,2020,unknown,18.39071650678124
78,2020,unknown,201.40608618515273
78,2020,unknown,163.83433300702745
78,2020,unknown,50.76174061354438
78,2020,unknown,64.94653678182746
78,2020,unknown,83.58421037500592
78,2020,unknown,27.33322139649612
78,2020,unknown,20.194971538740134
78,2020,unknown,50.818789607969244
78,2020,unknown,54.018442396482065
78,2020,unknown,129.82752368673098
78,2020,unknown,430.507568245972
78,2020,unknown,80.61728687199164
78,2020,unknown,151.62688400056427
78,2020,unknown,85.89105263561865
78,2020,unknown,31.715136359543518
78,2020,unknown,44.08885404739725
78,2020,unknown,62.58601950856905
78,2020,unknown,71.08479638146413
78,2020,unknown,25.838884585186484
78,2020,unknown,16.827212390336676
78,2020,unknown,61.9752673191906
78,2020,unknown,69.11341766961847
78,2020,unknown,28.39988243764437
78,2020,unknown,19.445478174696127
78,2020,unknown,43.41432587695933
78,2020,unknown,60.47096829136847
78,2020,unknown,23.418142648517257
78,2020,unknown,94.91466158982588
78,2020,unknown,48.74764237306799
78,2020,unknown,71.74891389155916
78,2020,unknown,17.456539399739572
78,2020,unknown,39.29191172010873
78,2020,unknown,23.15353594330338
78,2020,unknown,34.712758432962296
78,2020,unknown,23.944026456328896
78,2020,unknown,10.161037481545785
78,2020,unknown,35.080163823641364
78,2020,unknown,43.353213024839604
78,2020,unknown,33.40624357243285
78,2020,unknown,68.64504202800256
78,2020,unknown,248.76319156443756
78,2020,unknown,106.20680871663625
78,2020,unknown,48.91685485928472
78,2020,unknown,35.680491073935
78,2020,unknown,79.33790194111853
78,2020,unknown,44.360871462357
78,2020,unknown,93.16509009613567
78,2020,unknown,103.95505339576593
78,2020,unknown,21.039062063307117
78,2020,unknown,33.24902158252154
78,2020,unknown,28.45978217539231
78,2020,unknown,87.47343955476101
78,2020,unknown,48.82888241858517
78,2020,unknown,50.849035494929964
78,2020,unknown,481.26668384289906
78,2020,unknown,43.02340805775477
78,2020,unknown,216.29484045684515
78,2020,unknown,9.255270039335684
78,2020,unknown,15.160099459980971
78,2020,unknown,156.64688808366725
78,2020,unknown,28.45476049072264
78,2020,unknown,241.74571316153535
78,2020,unknown,29.358965784550662
78,2020,unknown,66.8725373496997
78,2020,unknown,40.90845963572061
78,2020,unknown,108.86293310695338
78,2020,unknown,71.60060368138673
78,2020,unknown,25.08926899379488
78,2020,unknown,48.68609128014977
78,2020,unknown,4.5427029391803195
78,2020,unknown,77.9737631570354
78,2020,unknown,53.289762551737965
78,2020,unknown,168.7557806187876
78,2020,unknown,169.46492608715224
78,2020,unknown,179.54853923866628
78,2020,unknown,135.31194292187357
78,2020,unknown,48.587059058891874
78,2020,unknown,46.4640405716788
78,2020,unknown,64.24464445750657
78,2020,unknown,15.507228945271395
78,2020,unknown,18.624051760104102
78,2020,unknown,70.65260791553273
78,2020,unknown,57.96835718294942
78,2020,unknown,34.71964540038369
78,2020,unknown,24.902305833428414
78,2020,unknown,125.54968942449165
78,2020,unknown,91.82792950375627
78,2020,unknown,181.12580011274417
78,2020,unknown,167.58995415094074
78,2020,unknown,241.0942818707208
78,2020,unknown,61.28163636395554
78,2020,unknown,62.895043808267076
78,2020,unknown,63.24826444228763
78,2020,unknown,116.7017111471698
78,2020,unknown,30.12794122438375
78,2020,unknown,81.78548096221017
78,2020,unknown,87.88702614311975
78,2020,unknown,422.58419663758775
78,2020,unknown,174.28479659394193
78,2020,unknown,99.00082452638286
78,2020,unknown,55.272899438746116
78,2020,unknown,132.55820904862375
78,2020,unknown,35.35100824331797
78,2020,unknown,19.879496970859105
78,2020,unknown,25.04462808727061
78,2020,unknown,62.306571177043566
78,2020,unknown,17.279152068051342
78,2020,unknown,28.3575758539
78,2020,unknown,17.600417865725806
78,2020,unknown,10.122832564848665
78,2020,unknown,37.46826114811475
78,2020,unknown,35.9044256716442
78,2020,unknown,79.2177709014395
78,2020,unknown,127.12362013931188
78,2020,unknown,466.16659166649447
78,2020,unknown,40.30974034968726
78,2020,unknown,19.27025087078066
78,2020,unknown,16.990630741378695
78,2020,unknown,16.81383123575386
78,2020,unknown,17.481740618791626
78,2020,unknown,69.6558331201788
78,2020,unknown,137.51672631450236
78,2020,unknown,45.40419133801823
78,2020,unknown,63.67205347357389
78,2020,unknown,33.995830109414904
78,2020,unknown,221.76343342115686
78,2020,unknown,12.810556785320049
78,2020,unknown,29.043498172246785
78,2020,unknown,61.02725245982102
78,2020,unknown,62.854421120200286
78,2020,unknown,62.489131816549026
78,2020,unknown,18.460565244908995
78,2020,unknown,31.438737445316452
78,2020,unknown,38.68995061299445
78,2020,unknown,34.09211637076721
78,2020,unknown,19.024110833212113
78,2020,unknown,21.72236700531196
78,2020,unknown,33.044143930979786
78,2020,unknown,20.60143030635288
78,2020,unknown,48.888435069261796
78,2020,unknown,24.338090698852266
78,2020,unknown,52.52458703448861
78,2020,unknown,23.882501194627604
78,2020,unknown,71.27806166360399
78,2020,unknown,15.929554532335919
78,2020,unknown,43.105040928840396
78,2020,unknown,27.325692534692976
78,2020,unknown,161.40788115431013
78,2020,unknown,90.95290130893449
78,2020,unknown,37.334410825892775
78,2020,unknown,44.60748500123074
78,2020,unknown,69.96717852195714
78,2020,unknown,37.84787766779393
78,2020,unknown,14.571571353133812
78,2020,unknown,42.78851191995774
78,2020,unknown,30.349208329541334
78,2020,unknown,73.28006371033757
78,2020,unknown,75.01474848117583
78,2020,unknown,6.212616366766067
78,2020,unknown,115.68283946451788
78,2020,unknown,30.74024315567285
78,2020,unknown,41.22428848907397
78,2020,unknown,15.275974383484968
78,2020,unknown,195.34313454980258
78,2020,unknown,10.530211204630474
78,2020,unknown,76.50004737350632
78,2020,unknown,158.2315143328546
78,2020,unknown,29.203472996409754
78,2020,unknown,8.377779868861676
1,2020,unknown,28.955854428474524
1,2020,unknown,20.30366194310515
1,2020,unknown,52.73240377988471
1,2020,unknown,78.89661870484677
1,2020,unknown,33.66925410572142
1,2020,unknown,18.49700113342101
1,2020,unknown,45.40918650713992
1,2020,unknown,100.35071660163098
1,2020,unknown,45.01206452002591
1,2020,unknown,28.87587054320409
1,2020,unknown,26.946803646100363
1,2020,unknown,20.213909058236116
1,2020,unknown,50.30426344133754
1,2020,unknown,82.85001525067834
1,2020,unknown,15.281782495693145
1,2020,unknown,20.14838560671644
1,2020,unknown,15.192258030260499
1,2020,unknown,270.9892246276974
78,2020,unknown,127.0150710224643
1,2020,unknown,28.24480227284818
1,2020,unknown,56.94913155478084
1,2020,unknown,24.249103289814386
1,2020,unknown,20.108965182439704
78,2020,unknown,28.506903394055747
78,2020,unknown,48.86335132057833
78,2020,unknown,77.50040640573626
1,2020,unknown,70.8437966465735
78,2020,unknown,77.01119428953213
78,2020,unknown,25.230541801858568
78,2020,unknown,21.766119381428183
78,2020,unknown,24.011778058022088
78,2020,unknown,146.9122417482018
78,2020,unknown,105.43724590294536
78,2020,unknown,64.75240424044352
78,2020,unknown,56.153266003440045
78,2020,unknown,33.2216874725468
78,2020,unknown,56.4254940869836
78,2020,unknown,14.90662194997199
78,2020,unknown,26.34236414895029
78,2020,unknown,27.506578079514384
78,2020,unknown,54.53057740209402
78,2020,unknown,29.691869253951396
78,2020,unknown,22.276759711026106
78,2020,unknown,59.69671307703626
78,2020,unknown,39.02318912186718
78,2020,unknown,8.31518468944619
78,2020,unknown,20.12501533455815
78,2020,unknown,43.05924542877091
78,2020,unknown,145.8999921382928
78,2020,unknown,200.3956752762726
78,2020,unknown,65.38037999485981
78,2020,unknown,122.51573648506397
78,2020,unknown,32.42802382548102
78,2020,unknown,65.45540655114274
78,2020,unknown,16.97512776736584
78,2020,unknown,15.451584041116854
78,2020,unknown,16.312567543612605
78,2020,unknown,29.468011551982187
78,2020,unknown,17.406757332245476
78,2020,unknown,27.64086521564717
78,2020,unknown,17.429641658978834
78,2020,unknown,8.369220068174034
78,2020,unknown,12.536232467404458
78,2020,unknown,21.839318987776686
78,2020,unknown,23.78883749146668
78,2020,unknown,18.637406070516654
78,2020,unknown,23.591513401512202
78,2020,unknown,42.65558300288572
78,2020,unknown,44.18853234125842
78,2020,unknown,15.116972416889208
78,2020,unknown,79.41786905810213
78,2020,unknown,24.602545844482055
78,2020,unknown,28.29512909908511
78,2020,unknown,18.351210298992147
78,2020,unknown,37.05453180833848
78,2020,unknown,34.241934802987714
78,2020,unknown,5.48801968566784
78,2020,unknown,19.13986222316306
78,2020,unknown,8.753547575614345
78,2020,unknown,23.996934650420677
78,2020,unknown,12.718267346168181
78,2020,unknown,5.431515302233205
78,2020,unknown,31.512563144799262
78,2020,unknown,35.30118218948812
78,2020,unknown,24.577416244226487
78,2020,unknown,20.31072320646213
78,2020,unknown,17.321927631399227
78,2020,unknown,76.68405708983529
78,2020,unknown,31.846303103479322
78,2020,unknown,19.44927099115328
78,2020,unknown,42.01723711508224
78,2020,unknown,20.839228005362042
78,2020,unknown,9.565329823381733
78,2020,unknown,14.235095429747398
78,2020,unknown,29.652072819191755
78,2020,unknown,18.379535298097053
78,2020,unknown,68.16401062856606
78,2020,unknown,312.03235679692153
78,2020,unknown,26.62215845338701
78,2020,unknown,19.384972629728193
78,2020,unknown,23.409918546002896
78,2020,unknown,17.25184621418417
78,2020,unknown,32.215062956673435
78,2020,unknown,18.118966014662004
78,2020,unknown,66.74599326155369
78,2020,unknown,44.52397921892702
78,2020,unknown,77.04364154559703
78,2020,unknown,17.826281244043557
78,2020,unknown,86.62617350354809
78,2020,unknown,34.013588290515145
78,2020,unknown,82.14870678353117
78,2020,unknown,24.118879547628858
78,2020,unknown,39.868411185865845
1,2020,unknown,20.37244450649555
1,2020,unknown,264.08517891256565
78,2020,unknown,35.90056051974736
78,2020,unknown,79.35797663109334
1,2020,unknown,30.126066396649726
78,2020,unknown,17.239262609883305
78,2020,unknown,36.55765242870559
78,2020,unknown,27.00929990157772
1,2020,unknown,135.17257589037754
78,2020,unknown,41.35224584439527
78,2020,unknown,43.09386486651431
78,2020,unknown,37.65190838955333
78,2020,unknown,16.48988227266923
78,2020,unknown,29.556402187413543
78,2020,unknown,21.60913643491272
78,2020,unknown,25.138079527451787
78,2020,unknown,51.111937986029055
78,2020,unknown,14.526292512208832
78,2020,unknown,16.42393545932808
78,2020,unknown,26.77572974303015
78,2020,unknown,60.10358925358392
78,2020,unknown,52.45719897337832
78,2020,unknown,126.64771414778566
78,2020,unknown,100.4023642878098
78,2020,unknown,48.98255394283106
78,2020,unknown,129.79316243774977
78,2020,unknown,90.9751472321177
78,2020,unknown,93.68764967148489
78,2020,unknown,89.5249524221735
78,2020,unknown,237.19400279993795
78,2020,unknown,18.173067359094077
78,2020,unknown,27.781546196366886
78,2020,unknown,56.86031482742965
78,2020,unknown,66.99342162106255
78,2020,unknown,19.696060632115046
78,2020,unknown,61.95949998311403
78,2020,unknown,8.670384398625377
78,2020,unknown,14.115298733668693
78,2020,unknown,22.286998800296793
78,2020,unknown,31.940617116393323
78,2020,unknown,9.18292640607016
78,2020,unknown,115.2651916351292
78,2020,unknown,53.03237534679412
78,2020,unknown,78.96280540561538
78,2020,unknown,19.70733288236831
78,2020,unknown,25.160945671946642
78,2020,unknown,33.71054884729562
78,2020,unknown,68.20989127451284
78,2020,unknown,20.464522903792954
78,2020,unknown,36.91334867128871
78,2020,unknown,22.868578602462378
78,2020,unknown,12.606487168020017
78,2020,unknown,15.501049679580035
78,2020,unknown,16.50096673288427
78,2020,unknown,13.646770099770318
78,2020,unknown,36.88263175758158
78,2020,unknown,11.129983624149457
78,2020,unknown,56.936263693715276
78,2020,unknown,14.316571412610404
78,2020,unknown,14.509981997990732
78,2020,unknown,10.186371870045745
78,2020,unknown,23.011960791295593
78,2020,unknown,114.97711777662501
78,2020,unknown,25.95713694431215
78,2020,unknown,40.137007498206124
78,2020,unknown,185.9832436008394
78,2020,unknown,22.199869855217994
78,2020,unknown,19.548844870153776
78,2020,unknown,31.613504282542216
78,2020,unknown,21.74429296249062
78,2020,unknown,21.653979187840754
78,2020,unknown,155.40448177173198
78,2020,unknown,46.14823915795449
78,2020,unknown,31.32743558337353
78,2020,unknown,18.702341105552044
78,2020,unknown,67.48472495011573
78,2020,unknown,59.13464455967325
78,2020,unknown,27.103429767278396
78,2020,unknown,29.072641665565968
78,2020,unknown,24.343426119882302
78,2020,unknown,20.840281185986573
78,2020,unknown,102.26773179216187
78,2020,unknown,125.00218687547792
78,2020,unknown,16.82780326540055
78,2020,unknown,23.82656550346419
78,2020,unknown,38.628001004944146
78,2020,unknown,91.83067523346575
78,2020,unknown,161.58603922355525
78,2020,unknown,12.295793073784411
78,2020,unknown,11.588023103362282
78,2020,unknown,77.95684045958791
78,2020,unknown,73.43463177367573
78,2020,unknown,26.526993227555742
78,2020,unknown,13.876275467666371
78,2020,unknown,12.27334122754214
78,2020,unknown,170.43786365643996
78,2020,unknown,12.182110643182037
78,2020,unknown,187.07344166967835
78,2020,unknown,43.856856475641294
78,2020,unknown,31.387277888105473
78,2020,unknown,55.42412224433471
78,2020,unknown,16.261725885217064
78,2020,unknown,11.559180322068544
78,2020,unknown,68.46726755719453
78,2020,unknown,24.88517331890703
78,2020,unknown,18.071225311304104
78,2020,unknown,29.613998166951585
78,2020,unknown,27.53018219330159
78,2020,unknown,31.324761025042726
78,2020,unknown,42.682225510831145
78,2020,unknown,34.76107373197621
78,2020,unknown,37.692336486655414
78,2020,unknown,42.32310932965725
78,2020,unknown,21.0887837879108
78,2020,unknown,92.11415872137276
78,2020,unknown,35.286151384157385
78,2020,unknown,70.70849980924518
78,2020,unknown,34.21414644669386
78,2020,unknown,43.635381771159686
78,2020,unknown,10.026394261567082
78,2020,unknown,20.807824776028944
1,2020,unknown,80.28937283400339
1,2020,unknown,71.43413838217873
1,2020,unknown,126.66900212216352
1,2020,unknown,55.89094060523234
1,2020,unknown,102.50083395205408
1,2020,unknown,126.85167105101019
1,2020,unknown,142.47298975550228
78,2020,unknown,51.70005691292584
78,2020,unknown,77.28001409350858
78,2020,unknown,109.76265820086017
78,2020,unknown,109.57323714994747
78,2020,unknown,25.7984489834609
78,2020,unknown,97.58652387076593
78,2020,unknown,61.69382810190491
78,2020,unknown,121.28939149572788
78,2020,unknown,17.538013808433067
78,2020,unknown,144.64308098607944
78,2020,unknown,175.58656278400028
78,2020,unknown,72.90493642229137
78,2020,unknown,64.8711385439231
1,2020,unknown,102.01524740498327
78,2020,unknown,48.582118795484334
78,2020,unknown,145.0761314868913
78,2020,unknown,50.72424093860176
78,2020,unknown,102.72577323161505
78,2020,unknown,115.98094712502152
78,2020,unknown,68.72818857009239
78,2020,unknown,159.82749467314034
78,2020,unknown,67.88755017308925
78,2020,unknown,21.97097496957933
78,2020,unknown,56.60964291651242
78,2020,unknown,38.20701276222469
1,2020,unknown,47.441943184487556
1,2020,unknown,26.434160240430394
1,2020,unknown,27.71107188146839
1,2020,unknown,69.71195260918509
1,2020,unknown,45.439554050770425
1,2020,unknown,10.201108807985888
1,2020,unknown,45.36565011002552
1,2020,unknown,29.28820390784132
1,2020,unknown,33.36507717486894
1,2020,unknown,49.462200683861006
1,2020,unknown,101.7256272861837
78,2020,unknown,16.766657436753658
78,2020,unknown,17.223138049220292
78,2020,unknown,157.07448363517568
78,2020,unknown,20.508860907237988
78,2020,unknown,74.25988220695244
78,2020,unknown,33.151604195478036
78,2020,unknown,55.2793958069665
78,2020,unknown,37.75104355303548
78,2020,unknown,6.03392055209383
78,2020,unknown,117.48586392684722
78,2020,unknown,24.527816388266174
78,2020,unknown,32.73711867056977
78,2020,unknown,10.494486060422311
78,2020,unknown,16.097812797332328
78,2020,unknown,41.43039664372869
78,2020,unknown,175.74311965860068
78,2020,unknown,32.290194505932284
78,2020,unknown,36.578156657952015
78,2020,unknown,23.14200595547075
78,2020,unknown,20.26010722559404
78,2020,unknown,14.058838739060551
78,2020,unknown,27.172823979480903
78,2020,unknown,73.23786281131247
78,2020,unknown,7.20641909068765
78,2020,unknown,6.0032845082842305
78,2020,unknown,35.13595929035447
78,2020,unknown,27.20546316529465
78,2020,unknown,17.01494004962589
78,2020,unknown,43.00055921389691
1,2020,unknown,88.55742452123953
1,2020,unknown,27.434680184581445
1,2020,unknown,22.915096141218704
1,2020,unknown,87.53776022163262
1,2020,unknown,108.34122958567677
1,2020,unknown,73.16154091038544
1,2020,unknown,31.734704258461985
1,2020,unknown,107.49725952999408
1,2020,unknown,9.61455449167202
1,2020,unknown,21.1082491088779
78,2020,unknown,115.55607083133144
1,2020,unknown,44.68485114451656
1,2020,unknown,22.64936760431248
1,2020,unknown,101.17631287762599
78,2020,unknown,28.39909378054854
1,2020,unknown,60.75801183553899
1,2020,unknown,26.71290305404461
1,2020,unknown,57.17355356564961
1,2020,unknown,10.250028117334944
1,2020,unknown,10.525325823398395
1,2020,unknown,73.82176549462912
78,2020,unknown,29.095709741228195
78,2020,unknown,60.117492400863085
78,2020,unknown,56.13151463687263
78,2020,unknown,34.81450796314177
1,2020,unknown,108.21819458594489
1,2020,unknown,345.4738837539762
1,2020,unknown,154.5481564932743
78,2020,unknown,176.54486099620712
15,2022,Douglas-fir beetle,17.834121752054532
4,2025,fir engraver,2.2217469322736374
4,2025,flatheaded fir borer,2.2217469322736374
