us_l3code,SURVEY_YEA,DCA_COMMON,area_m2
9,2003,balsam woolly adelgid,875.4517062850516
1,2004,bears,14.62914217133752
15,2003,Douglas-fir beetle,698.690244312292
4,2003,Douglas-fir beetle,341.0209953008159
15,2004,pine engraver,111.97670812418245
15,2004,western pine beetle,135.85813768398955
9,2001,fir engraver,208.73073617230756
,2003,bears,21.54026313820691
1,2004,bears,242.23245071214285
,2004,bears,70.22554421103249
4,2004,fir engraver,361.91034940103185
11,2003,fir engraver,98.96493173890167
77,2004,mountain pine beetle,40.08779498103946
4,2001,bears,136.94780561501614
77,2001,spruce beetle,110.22247711350514
9,2004,fir engraver,63.974962698516634
11,2004,fir engraver,322.8372622306375
77,2004,mountain pine beetle,4.999218224465621
15,2001,Douglas-fir beetle,33.961948575223225
9,2004,western spruce budworm,9.91306424680921
77,2004,western balsam bark beetle,229.76046894549359
78,2003,flatheaded borer,969.6382239069699
4,2005,bears,261.9479464737435
77,2004,Douglas-fir beetle,144.50597378461146
77,2004,mountain pine beetle,2435.8360462437454
1,2003,bears,685.3204484954888
15,2004,western pine beetle,75.956198880366
,2003,bears,252.1845906387843
4,2004,western spruce budworm,49.007655590497606
15,2004,fir engraver,48.520635764290645
77,2004,mountain pine beetle,2435.8360462437454
11,2003,mountain pine beetle,72.8630126661721
1,2001,bears,906.042576722393
4,2004,mountain pine beetle,301.10727550893176
,2001,bears,181.8837227103517
1,2003,bears,242.51878892116056
11,2003,mountain pine beetle,237.9654619475761
77,2004,mountain pine beetle,233.90725454933335
4,2003,bears,104.0843001682453
4,2004,bears,310.4533762014146
4,2005,Douglas-fir beetle,510.8091671496521
1,2004,bears,444.91596240867034
9,2008,mountain pine beetle,1385.71875
4,2001,Douglas-fir beetle,361.9137833833044
77,2004,mountain pine beetle,372.39221922006067
15,2002,Douglas-fir beetle,169.69837902314862
4,2003,fir engraver,446.1508378708304
4,2016,fir engraver,684.037893548531
,2017,fir engraver,7.288030137067591
,2017,drought,7.288030137067591
9,2018,fir engraver,178.74271875597202
77,2019,balsam woolly adelgid,652.4505292990307
77,2019,balsam woolly adelgid,652.4505292990307
15,2020,fir engraver,16.649503346652576
15,2020,larch casebearer,44.61519246031611
15,2020,unknown,90.98923697392753
15,2020,unknown,44.61519246031611
1,2020,unknown,45.873136739060925
1,2020,unknown,59.74839997889588
1,2020,unknown,123.71659171243476
1,2020,unknown,30.561511605751818
1,2020,unknown,28.538758890090303
1,2020,unknown,111.93324820334192
1,2020,unknown,94.32518518236861
1,2020,unknown,17.33694034230562
1,2020,unknown,23.06749508836052
1,2020,unknown,27.1531338143252
1,2020,unknown,17.420459350977975
1,2020,unknown,87.21082488886205
1,2020,unknown,87.91952323460562
1,2020,unknown,45.39940139132911
1,2020,unknown,35.18897085660122
1,2020,unknown,63.159355035778425
1,2020,unknown,23.004679665140706
1,2020,unknown,80.07450200490483
1,2020,unknown,42.397090161834605
1,2020,unknown,34.95504973566615
1,2020,unknown,271.5477119226114
