huc6_code,SURVEY_YEAR,DCA_COMMON_NAME,area_m2
190804,2014,aspen leafminer,8.104951065531715
190804,2014,willow leaf blotchminer,8.104951065531715
,2014,defoliators,129.05718730100503
190303,2014,defoliators,0.0162371348607035
,2014,defoliators,100.72677091663053
190902,2014,defoliators,60.01181482895896
190303,2014,defoliators,94.61657192969022
190304,2014,birch leafroller,145.1756433235298
190303,2014,birch leafroller,94.61657192969022
190303,2014,birch leafroller,81.73801668959742
190204,2014,defoliators,490.9730369599192
,2014,birch leafroller,13.580695208349292
190305,2014,birch leafroller,290.6047053917305
190102,2014,yellow-cedar decline,103.07457002368358
190101,2014,hemlock sawfly,21.565279654089096
190101,2014,yellow-cedar decline,21.565279654089096
190901,2014,defoliators,464.10615852604775
190901,2014,defoliators,114.51691203832686
190901,2014,defoliators,210.7393846484192
190305,2014,defoliators,967.1397444892623
190901,2014,defoliators,0.31871878912479346
190305,2014,defoliators,88.933844520294
190901,2014,defoliators,22.54811015948138
190901,2014,large aspen tortrix,73.14293865539003
190205,2014,spruce beetle,262.05169123409155
,2014,defoliators,29.91516147151968
190303,2014,defoliators,346.80380148905203
190903,2014,defoliators,146.60670507500413
190304,2014,defoliators,8.2673280007009
190101,2015,yellow-cedar decline,388.02701495290574
190205,2015,unknown canker,178.16679680880694
,2015,unknown defoliator,534.4940075192799
190205,2015,spruce beetle,178.16679680880694
190804,2015,willow leaf blotchminer,8.669914036899975
190804,2015,aspen leafminer,8.669914036899975
190902,2015,aspen leafminer,127.85095288598198
190304,2015,unknown defoliator,161.37770722503592
190903,2015,unknown defoliator,239.23230217984076
190304,2015,unknown defoliator,218.2344288204702
190903,2015,unknown defoliator,239.23230217984076
190803,2015,unknown defoliator,1508.7127436490937
190304,2015,unknown defoliator,33.68158589254304
190304,2015,unknown defoliator,76.77953117768396
190102,2015,yellow-cedar decline,241.59903652369044
190304,2015,unknown defoliator,521.1067470776742
190901,2015,unknown defoliator,16.52210919976684
190901,2015,unknown defoliator,46.809290869554275
190103,2015,unknown defoliator,85.10412125942402
190205,2015,spruce beetle,1542.8285017422365
190903,2015,willow leaf blotchminer,492.84564023559574
190804,2015,willow leaf blotchminer,1585.8208933796743
190903,2015,willow leaf blotchminer,208.34122940434327
190901,2015,willow leaf blotchminer,403.15893973511106
190901,2015,willow leaf blotchminer,6.483689348956787
190901,2015,willow leaf blotchminer,495.7819598523172
190901,2015,willow leaf blotchminer,12.785276415520375
190803,2016,aspen leafminer,490.70036839316936
190803,2016,aspen leafminer,289.5128060080418
190801,2016,willow leaf blotchminer,336.43359218777647
190801,2016,willow leaf blotchminer,583.7694077924624
190801,2016,willow leaf blotchminer,348.20169584851743
190804,2016,aspen leafminer,178.37634089087294
190205,2016,spruce beetle,490.0079311358007
190204,2016,unknown defoliator,949.7192695648382
190803,2016,aspen leafminer,713.4212980032248
190803,2016,northern spruce engraver,938.8572673918902
190205,2017,spruce beetle,452.947586561581
190203,2018,spruce beetle,267.75469256603753
190205,2018,spruce beetle,292.3147975954354
190204,2018,birch leafminer,238.9278156152145
190203,2018,unknown defoliator,1080.5535784344638
190803,2018,unknown canker,845.8189709016729
190204,2018,spruce beetle,256.9451813740267
190204,2018,spruce beetle,353.73429897972346
190803,2018,unknown canker,530.2254617470049
190205,2018,birch leafminer,303.97642826220545
190901,2018,aspen leafminer,269.91787440263056
190901,2018,aspen leafminer,357.14152877756476
190803,2019,willow leaf blotchminer,62.75659818707531
190101,2019,yellow-cedar decline,449.08415796654043
