subregion,year,native_class,pixel_count,area_ha
OLYM,1992,Fire,38,3.42
OLYM,1992,Mass Movement,20,1.8
OLYM,1992,Riparian Change,127,11.43
OLYM,1993,Blowdown,8,0.72
OLYM,1994,Avalanche,71,6.39
OLYM,1994,Blowdown,99,8.91
OLYM,1994,Fire,764,68.76
OLYM,1994,Mass Movement,13,1.17
OLYM,1994,Riparian Change,39,3.51
OLYM,1995,Blowdown,116,10.44
OLYM,1995,Fire,20,1.8
OLYM,1995,Mass Movement,56,5.04
OLYM,1995,Riparian Change,720,64.8
OLYM,1996,Defoliation,26,2.34
OLYM,1996,Mass Movement,145,13.05
OLYM,1996,Riparian Change,1648,148.32
OLYM,1997,Avalanche,208,18.72
OLYM,1997,Blowdown,269,24.21
OLYM,1997,Development,22,1.98
OLYM,1997,Fire,25,2.25
OLYM,1997,Mass Movement,296,26.64
OLYM,1997,Riparian Change,554,49.86
OLYM,1998,Avalanche,38,3.42
OLYM,1998,Blowdown,19,1.71
OLYM,1998,Ice Damage,12,1.08
OLYM,1998,Mass Movement,12,1.08
OLYM,1998,Riparian Change,105,9.45
OLYM,1999,Avalanche,5846,526.14
OLYM,1999,Blowdown,166,14.94
OLYM,1999,Defoliation,24,2.16
OLYM,1999,Fire,800,72.0
OLYM,1999,Ice Damage,103,9.27
OLYM,1999,Mass Movement,124,11.16
OLYM,1999,Riparian Change,356,32.04
OLYM,2000,Avalanche,362,32.58
OLYM,2000,Defoliation,22,1.98
OLYM,2000,Mass Movement,78,7.02
OLYM,2000,Riparian Change,229,20.61
OLYM,2001,Mass Movement,28,2.52
OLYM,2001,Riparian Change,23,2.07
OLYM,2002,Avalanche,114,10.26
OLYM,2002,Defoliation,7,0.63
OLYM,2002,Mass Movement,32,2.88
OLYM,2002,Riparian Change,708,63.72
OLYM,2003,Avalanche,63,5.67
OLYM,2003,Blowdown,29,2.61
OLYM,2003,Defoliation,14,1.26
OLYM,2003,Fire,2453,220.77
OLYM,2003,Mass Movement,46,4.14
OLYM,2003,Riparian Change,460,41.4
OLYM,2004,Blowdown,10,0.9
OLYM,2004,Development,9,0.81
OLYM,2004,Mass Movement,340,30.6
OLYM,2004,Riparian Change,4606,414.54
OLYM,2005,Mass Movement,11,0.99
OLYM,2005,Riparian Change,120,10.8
OLYM,2006,Blowdown,93,8.37
OLYM,2006,Fire,1286,115.74
OLYM,2006,Mass Movement,118,10.62
OLYM,2006,Riparian Change,22,1.98
OLYM,2007,Avalanche,11,0.99
OLYM,2007,Blowdown,1331,119.79
OLYM,2007,Clearing,11,0.99
OLYM,2007,Defoliation,29,2.61
OLYM,2007,Fire,112,10.08
OLYM,2007,Mass Movement,336,30.24
OLYM,2007,Riparian Change,1727,155.43
OLYM,2008,Avalanche,1139,102.51
OLYM,2008,Blowdown,4535,408.15
OLYM,2008,Fire,17,1.53
OLYM,2008,Mass Movement,867,78.03
OLYM,2008,Riparian Change,1383,124.47
OLYM,2009,Avalanche,11,0.99
OLYM,2009,Blowdown,50,4.5
OLYM,2009,Defoliation,10,0.9
OLYM,2009,Fire,4694,422.46
OLYM,2009,Mass Movement,97,8.73
OLYM,2009,Riparian Change,252,22.68
OLYM,2010,Blowdown,26,2.34
OLYM,2010,Coastal Change,4,0.36
OLYM,2010,Fire,1876,168.84
OLYM,2010,Mass Movement,42,3.78
OLYM,2010,Riparian Change,252,22.68
OLYM,2011,Avalanche,1314,118.26
OLYM,2011,Blowdown,64,5.76
OLYM,2011,Defoliation,11,0.99
OLYM,2011,Fire,4817,433.53
OLYM,2011,Mass Movement,84,7.56
OLYM,2011,Riparian Change,218,19.62
OLYM,2012,Avalanche,80,7.2
OLYM,2012,Mass Movement,35,3.15
OLYM,2012,Riparian Change,35,3.15
OLYM,2013,Avalanche,93,8.37
OLYM,2013,Clearing,9,0.81
OLYM,2013,Defoliation,50,4.5
OLYM,2013,Mass Movement,119,10.71
OLYM,2013,Riparian Change,186,16.74
OLYM,2014,Avalanche,395,35.55
OLYM,2014,Defoliation,95,8.55
OLYM,2014,Development,9,0.81
OLYM,2014,Mass Movement,45,4.05
OLYM,2014,Riparian Change,87,7.83
OLYM,2015,Fire,11468,1032.12
OLYM,2015,Mass Movement,55,4.95
OLYM,2015,Riparian Change,439,39.51
OLYM,2016,Avalanche,45,4.05
OLYM,2016,Blowdown,9,0.81
OLYM,2016,Fire,13143,1182.87
OLYM,2016,Mass Movement,84,7.56
OLYM,2016,Riparian Change,975,87.75
OLYM,2017,Blowdown,23,2.07
OLYM,2017,Defoliation,71,6.39
OLYM,2017,Mass Movement,38,3.42
OLYM,2017,Riparian Change,36,3.24
