subregion,subregion_name,year,native_class,pixel_count,area_ha
1,Coast Range,2012,western tent caterpillar,850,76.5
1,Coast Range,2012,wind-tornado/hurricane,1016,91.44
1,Coast Range,2012,winter injury,3593,323.37
1,Coast Range,2013,Cytospora canker of fir,64,5.76
1,Coast Range,2013,Douglas-fir beetle,11846,1066.14
1,Coast Range,2013,Douglas-fir engraver,120,10.8
1,Coast Range,2013,Lophodermium needle cast of pines,134,12.06
1,Coast Range,2013,Pacific madrone decline,18,1.62
1,Coast Range,2013,Port-Orford-cedar root disease,26853,2416.77
1,Coast Range,2013,Swiss needle cast,15556,1400.04
1,Coast Range,2013,balsam woolly adelgid,3649,328.41
1,Coast Range,2013,bears,425061,38255.49
1,Coast Range,2013,decline complex,8128,731.52
1,Coast Range,2013,fir engraver,2089,188.01
1,Coast Range,2013,fire,20,1.8
1,Coast Range,2013,flatheaded borer,420,37.8
1,Coast Range,2013,flooding-high water,785,70.65
1,Coast Range,2013,foliage discoloration,69,6.21
1,Coast Range,2013,hardwood leaf rusts,2026,182.34
1,Coast Range,2013,hemlock decline,9834,885.06
1,Coast Range,2013,maple decline,1081,97.29
1,Coast Range,2013,mountain pine beetle,380,34.2
1,Coast Range,2013,mud-land slide,49,4.41
1,Coast Range,2013,needlecast,11014,991.26
1,Coast Range,2013,pine engraver,1120,100.8
1,Coast Range,2013,pine needle sheathminer,123,11.07
1,Coast Range,2013,root diseases/decay,454,40.86
1,Coast Range,2013,sawflies,3272,294.48
1,Coast Range,2013,western balsam bark beetle,12,1.08
1,Coast Range,2013,western blackheaded budworm,17996,1619.64
1,Coast Range,2013,western tent caterpillar,4068,366.12
1,Coast Range,2013,wind-tornado/hurricane,42,3.78
1,Coast Range,2014,Douglas-fir beetle,13222,1189.98
1,Coast Range,2014,Douglas-fir engraver,92,8.28
1,Coast Range,2014,Lophodermium needle cast of pines,92,8.28
1,Coast Range,2014,Port-Orford-cedar root disease,18096,1628.64
1,Coast Range,2014,Swiss needle cast,11432,1028.88
1,Coast Range,2014,balsam woolly adelgid,3128,281.52
1,Coast Range,2014,bears,503571,45321.39
1,Coast Range,2014,decline complex,9862,887.58
1,Coast Range,2014,fir engraver,17390,1565.1
1,Coast Range,2014,fire,46,4.14
1,Coast Range,2014,flatheaded borer,681,61.29
1,Coast Range,2014,flooding-high water,961,86.49
1,Coast Range,2014,hardwood leaf rusts,1312,118.08
1,Coast Range,2014,hemlock decline,31560,2840.4
1,Coast Range,2014,maple decline,257,23.13
1,Coast Range,2014,mortality,167,15.03
1,Coast Range,2014,mountain pine beetle,121,10.89
1,Coast Range,2014,mud-land slide,120,10.8
1,Coast Range,2014,needlecast,4772,429.48
1,Coast Range,2014,pine engraver,9,0.81
1,Coast Range,2014,root diseases/decay,3999,359.91
1,Coast Range,2014,sawflies,1666,149.94
1,Coast Range,2014,western balsam bark beetle,2482,223.38
1,Coast Range,2014,western blackheaded budworm,47645,4288.05
1,Coast Range,2014,western pine beetle,9,0.81
1,Coast Range,2014,western tent caterpillar,56178,5056.02
1,Coast Range,2014,wind-tornado/hurricane,314,28.26
1,Coast Range,2015,Douglas-fir beetle,14764,1328.76
1,Coast Range,2015,Douglas-fir engraver,1090,98.1
1,Coast Range,2015,Lophodermium needle cast of pines,302,27.18
1,Coast Range,2015,Port-Orford-cedar root disease,22013,1981.17
1,Coast Range,2015,balsam woolly adelgid,5281,475.29
1,Coast Range,2015,bears,363437,32709.33
1,Coast Range,2015,fir engraver,1947,175.23
1,Coast Range,2015,flatheaded borer,1460,131.4
1,Coast Range,2015,flooding-high water,1573,141.57
1,Coast Range,2015,leaf rusts of hardwoods,704,63.36
1,Coast Range,2015,mountain pine beetle,136,12.24
1,Coast Range,2015,mud-land slide,8,0.72
1,Coast Range,2015,needlecast,12407,1116.63
1,Coast Range,2015,pine engraver,152,13.68
1,Coast Range,2015,silver fir beetle,9,0.81
1,Coast Range,2015,spruce aphid,104,9.36
1,Coast Range,2015,unknown,16759,1508.31
1,Coast Range,2015,unknown root disease or decay,1899,170.91
1,Coast Range,2015,western balsam bark beetle,279,25.11
1,Coast Range,2015,western pine beetle,52,4.68
1,Coast Range,2015,western tent caterpillar,5957,536.13
1,Coast Range,2015,wild fire,521,46.89
1,Coast Range,2015,wind-tornado/hurricane,18,1.62
1,Coast Range,2015,winter injury,3398,305.82
1,Coast Range,2016,Douglas-fir beetle,14322,1288.98
1,Coast Range,2016,Douglas-fir engraver,2432,218.88
1,Coast Range,2016,Lophodermium needle cast of pines,9,0.81
1,Coast Range,2016,Port-Orford-cedar root disease,13244,1191.96
1,Coast Range,2016,Swiss needle cast,3983,358.47
1,Coast Range,2016,balsam woolly adelgid,3362,302.58
1,Coast Range,2016,bears,259612,23365.08
1,Coast Range,2016,drought,2824,254.16
1,Coast Range,2016,fir engraver,1315,118.35
1,Coast Range,2016,fire,98,8.82
1,Coast Range,2016,flatheaded borer,2389,215.01
1,Coast Range,2016,frost,1001,90.09
1,Coast Range,2016,leaf rusts of hardwoods,198,17.82
1,Coast Range,2016,mountain pine beetle,115,10.35
1,Coast Range,2016,mud-land slide,12,1.08
1,Coast Range,2016,needlecast,8374,753.66
1,Coast Range,2016,pine engraver,367,33.03
1,Coast Range,2016,unknown,21712,1954.08
1,Coast Range,2016,western balsam bark beetle,60,5.4
1,Coast Range,2016,western pine beetle,82,7.38
1,Coast Range,2016,western tent caterpillar,637,57.33
1,Coast Range,2016,white pine blister rust,10,0.9
1,Coast Range,2016,wind-tornado/hurricane,167,15.03
1,Coast Range,2017,Douglas-fir beetle,7366,662.94
1,Coast Range,2017,Douglas-fir engraver,419,37.71
1,Coast Range,2017,Lophodermium needle cast of pines,77,6.93
1,Coast Range,2017,Port-Orford-cedar root disease,4944,444.96
1,Coast Range,2017,Swiss needle cast,6152,553.68
1,Coast Range,2017,balsam woolly adelgid,4474,402.66
1,Coast Range,2017,bears,213708,19233.72
1,Coast Range,2017,drought,159,14.31
1,Coast Range,2017,fir engraver,171,15.39
1,Coast Range,2017,fire,5180,466.2
1,Coast Range,2017,flatheaded borer,4031,362.79
1,Coast Range,2017,flooding-high water,2539,228.51
1,Coast Range,2017,ips engraver beetles,27,2.43
1,Coast Range,2017,mountain pine beetle,88,7.92
1,Coast Range,2017,mud-land slide,92,8.28
1,Coast Range,2017,needlecast,6931,623.79
1,Coast Range,2017,spruce aphid,30,2.7
1,Coast Range,2017,unknown,33416,3007.44
1,Coast Range,2017,unknown defoliator,105,9.45
1,Coast Range,2017,unknown root disease or decay,2424,218.16
1,Coast Range,2017,western balsam bark beetle,17,1.53
1,Coast Range,2017,western pine beetle,102,9.18
1,Coast Range,2017,western tent caterpillar,1109,99.81
1,Coast Range,2017,wind-tornado/hurricane,328,29.52
1,Coast Range,2017,winter injury,223,20.07
1,Coast Range,2018,Douglas-fir beetle,13269,1194.21
1,Coast Range,2018,Douglas-fir engraver,485,43.65
1,Coast Range,2018,Lophodermium needle cast of pines,135,12.15
1,Coast Range,2018,Port-Orford-cedar root disease,8703,783.27
1,Coast Range,2018,Swiss needle cast,2215085,199357.65
1,Coast Range,2018,balsam woolly adelgid,6070,546.3
1,Coast Range,2018,bears,330276,29724.84
1,Coast Range,2018,drought,174,15.66
1,Coast Range,2018,fir engraver,7157,644.13
1,Coast Range,2018,fire,299,26.91
1,Coast Range,2018,flatheaded fir borer,799,71.91
1,Coast Range,2018,flooding-high water,2571,231.39
1,Coast Range,2018,leaf rusts of hardwoods,83,7.47
1,Coast Range,2018,mountain pine beetle,3843,345.87
1,Coast Range,2018,mud-land slide,19,1.71
1,Coast Range,2018,needlecast,6328,569.52
1,Coast Range,2018,"other pest complex, known (code pending)",983,88.47
1,Coast Range,2018,ponderosa pine sawfly,14,1.26
1,Coast Range,2018,unknown,268585,24172.65
1,Coast Range,2018,unknown defoliator,226,20.34
1,Coast Range,2018,unknown root disease or decay,2851,256.59
1,Coast Range,2018,western tent caterpillar,797,71.73
1,Coast Range,2019,Douglas-fir beetle,12513,1126.17
1,Coast Range,2019,Douglas-fir engraver,771,69.39
1,Coast Range,2019,Port-Orford-cedar root disease,10006,900.54
1,Coast Range,2019,alder flea beetle,202,18.18
1,Coast Range,2019,balsam woolly adelgid,10252,922.68
1,Coast Range,2019,bears,172010,15480.9
1,Coast Range,2019,drought,753,67.77
1,Coast Range,2019,fir engraver,40734,3666.06
1,Coast Range,2019,fire,112,10.08
1,Coast Range,2019,flatheaded fir borer,8601,774.09
1,Coast Range,2019,flooding-high water,1078,97.02
1,Coast Range,2019,ips engraver beetles,102,9.18
1,Coast Range,2019,mountain pine beetle,25,2.25
1,Coast Range,2019,needlecast,5164,464.76
1,Coast Range,2019,"other root disease or decay, known (code pending)",45,4.05
1,Coast Range,2019,snow-ice,21941,1974.69
1,Coast Range,2019,spruce aphid,78562,7070.58
1,Coast Range,2019,unknown,190259,17123.31
1,Coast Range,2019,unknown defoliator,115,10.35
1,Coast Range,2019,unknown root disease or decay,130,11.7
1,Coast Range,2019,western balsam bark beetle,135,12.15
1,Coast Range,2019,wind-tornado/hurricane,63,5.67
1,Coast Range,2019,winter injury,5553,499.77
1,Coast Range,2020,Douglas-fir beetle,281,25.29
