subregion,year,native_class,pixel_count,area_ha,spatial_prevalence_pct
SACN,1997,beaver,305,27.45,0.6
SACN,1997,unknown,21,1.89,0.041
SACN,1998,development,11761,1058.49,66.14
SACN,1998,harvest,5941,534.69,33.41
SACN,1998,agriculture,61,5.49,0.343
SACN,1998,beaver,19,1.71,0.107
SACN,1999,harvest,12753,1147.77,67.252
SACN,1999,development,5798,521.82,30.575
SACN,1999,agriculture,308,27.72,1.624
SACN,1999,beaver,104,9.36,0.548
SACN,2000,harvest,8614,775.26,53.196
SACN,2000,development,7101,639.09,43.852
SACN,2000,beaver,270,24.3,1.667
SACN,2000,agriculture,184,16.56,1.136
SACN,2000,unknown,24,2.16,0.148
SACN,2001,harvest,24827,2234.43,65.422
SACN,2001,blowdown,7657,689.13,20.177
SACN,2001,development,5121,460.89,13.494
SACN,2001,beaver,271,24.39,0.714
SACN,2001,unknown,73,6.57,0.192
SACN,2002,harvest,9158,824.22,83.688
SACN,2002,development,1682,151.38,15.371
SACN,2002,unknown,54,4.86,0.493
SACN,2002,agriculture,27,2.43,0.247
SACN,2002,beaver,22,1.98,0.201
SACN,2003,harvest,12539,1128.51,68.843
SACN,2003,development,5328,479.52,29.252
SACN,2003,beaver,233,20.97,1.279
SACN,2003,unknown,104,9.36,0.571
SACN,2003,agriculture,10,0.9,0.055
SACN,2004,harvest,16816,1513.44,78.771
SACN,2004,development,4073,366.57,19.079
SACN,2004,agriculture,230,20.7,1.077
SACN,2004,beaver,217,19.53,1.016
SACN,2004,flooding,12,1.08,0.056
SACN,2005,harvest,10338,930.42,72.911
SACN,2005,development,3225,290.25,22.745
SACN,2005,agriculture,366,32.94,2.581
SACN,2005,beaver,204,18.36,1.439
SACN,2005,unknown,46,4.14,0.324
SACN,2006,harvest,16042,1443.78,75.057
SACN,2006,development,4694,422.46,21.962
SACN,2006,beaver,387,34.83,1.811
SACN,2006,unknown,130,11.7,0.608
SACN,2006,agriculture,111,9.99,0.519
SACN,2006,insect_disease_mort,9,0.81,0.042
SACN,2007,harvest,11070,996.3,86.202
SACN,2007,development,1504,135.36,11.712
SACN,2007,agriculture,216,19.44,1.682
SACN,2007,beaver,30,2.7,0.234
SACN,2007,unknown,22,1.98,0.171
SACN,2008,harvest,13051,1174.59,92.025
SACN,2008,development,937,84.33,6.607
SACN,2008,beaver,87,7.83,0.613
SACN,2008,insect_disease_mort,69,6.21,0.487
SACN,2008,agriculture,38,3.42,0.268
SACN,2009,harvest,12999,1169.91,90.832
SACN,2009,development,735,66.15,5.136
SACN,2009,agriculture,493,44.37,3.445
SACN,2009,beaver,84,7.56,0.587
SACN,2010,harvest,26509,2385.81,95.815
SACN,2010,development,495,44.55,1.789
SACN,2010,agriculture,375,33.75,1.355
SACN,2010,unknown,160,14.4,0.578
SACN,2010,beaver,119,10.71,0.43
SACN,2010,flooding,9,0.81,0.033
SACN,2011,harvest,30550,2749.5,94.767
SACN,2011,agriculture,1021,91.89,3.167
SACN,2011,development,531,47.79,1.647
SACN,2011,unknown,73,6.57,0.226
SACN,2011,beaver,40,3.6,0.124
SACN,2011,flooding,22,1.98,0.068
SACN,2012,harvest,16315,1468.35,82.158
SACN,2012,development,2616,235.44,13.174
SACN,2012,agriculture,604,54.36,3.042
SACN,2012,beaver,178,16.02,0.896
SACN,2012,unknown,132,11.88,0.665
SACN,2012,flooding,13,1.17,0.065
SACN,2013,harvest,11620,1045.8,87.665
SACN,2013,development,905,81.45,6.828
SACN,2013,agriculture,650,58.5,4.904
SACN,2013,beaver,71,6.39,0.536
SACN,2013,unknown,9,0.81,0.068
SACN,2014,harvest,10657,959.13,86.389
SACN,2014,development,1223,110.07,9.914
SACN,2014,beaver,203,18.27,1.646
SACN,2014,unknown,201,18.09,1.629
SACN,2014,agriculture,39,3.51,0.316
SACN,2014,insect_disease_mort,13,1.17,0.105
SACN,2015,harvest,11736,1056.24,91.111
SACN,2015,development,857,77.13,6.653
SACN,2015,unknown,100,9.0,0.776
SACN,2015,insect_disease_mort,79,7.11,0.613
SACN,2015,agriculture,61,5.49,0.474
SACN,2015,beaver,36,3.24,0.279
SACN,2015,flooding,12,1.08,0.093
SACN,2016,harvest,7718,694.62,77.041
SACN,2016,development,1771,159.39,17.678
SACN,2016,agriculture,198,17.82,1.976
SACN,2016,beaver,178,16.02,1.777
SACN,2016,flooding,95,8.55,0.948
SACN,2016,unknown,58,5.22,0.579
SACN,2017,harvest,8947,805.23,72.539
SACN,2017,development,2573,231.57,20.861
SACN,2017,unknown,374,33.66,3.032
SACN,2017,beaver,204,18.36,1.654
SACN,2017,agriculture,165,14.85,1.338
SACN,2017,flooding,45,4.05,0.365
SACN,2017,insect_disease_mort,26,2.34,0.211
SACN,2018,harvest,6485,583.65,82.727
SACN,2018,development,1140,102.6,14.543
SACN,2018,unknown,84,7.56,1.072
SACN,2018,agriculture,57,5.13,0.727
SACN,2018,beaver,51,4.59,0.651
SACN,2018,flooding,22,1.98,0.281
SACN,2019,harvest,9656,869.04,85.512
SACN,2019,development,1359,122.31,12.035
SACN,2019,agriculture,137,12.33,1.213
SACN,2019,unknown,70,6.3,0.62
SACN,2019,flooding,52,4.68,0.461
SACN,2019,beaver,18,1.62,0.159
SACN,2020,harvest,6598,593.82,71.061
SACN,2020,development,1353,121.77,14.572
SACN,2020,beaver,663,59.67,7.141
SACN,2020,unknown,531,47.79,5.719
SACN,2020,flooding,140,12.6,1.508
SLBE,1990,harvest,3254,292.86,67.806
SLBE,1990,development,1460,131.4,30.423
SLBE,1990,agriculture,85,7.65,1.771
SLBE,1991,harvest,3061,275.49,73.67
SLBE,1991,development,1025,92.25,24.669
SLBE,1991,agriculture,69,6.21,1.661
SLBE,1992,harvest,1818,163.62,46.819
SLBE,1992,development,1722,154.98,44.347
SLBE,1992,agriculture,343,30.87,8.833
SLBE,1993,development,1304,117.36,56.45
SLBE,1993,harvest,862,77.58,37.316
SLBE,1993,agriculture,144,12.96,6.234
SLBE,1994,harvest,2289,206.01,55.303
SLBE,1994,development,1840,165.6,44.455
SLBE,1994,agriculture,10,0.9,0.242
SLBE,1995,harvest,3817,343.53,59.446
SLBE,1995,development,2604,234.36,40.554
SLBE,1996,development,4343,390.87,71.856
SLBE,1996,harvest,1403,126.27,23.213
SLBE,1996,agriculture,298,26.82,4.931
SLBE,1997,development,3593,323.37,59.008
SLBE,1997,harvest,2468,222.12,40.532
SLBE,1997,agriculture,28,2.52,0.46
SLBE,1998,harvest,2998,269.82,55.05
SLBE,1998,development,2366,212.94,43.445
SLBE,1998,agriculture,82,7.38,1.506
SLBE,1999,development,1663,149.67,49.509
SLBE,1999,harvest,1504,135.36,44.775
SLBE,1999,agriculture,192,17.28,5.716
SLBE,2000,development,3000,270.0,61.92
