subregion,subregion_name,native_class,pixel_count,area_ha,spatial_prevalence_pct
15,Northern Rockies,satin moth,15679,1411.11,0.083
15,Northern Rockies,larch bud moth,9584,862.56,0.051
15,Northern Rockies,root diseases/decay,9497,854.73,0.05
15,Northern Rockies,Douglas-fir needle midge,8737,786.33,0.046
15,Northern Rockies,foliage discoloration,8429,758.61,0.045
15,Northern Rockies,black pineleaf scale,7244,651.96,0.038
15,Northern Rockies,winter injury,7208,648.72,0.038
15,Northern Rockies,root disease or bears,6504,585.36,0.034
15,Northern Rockies,drought,6289,566.01,0.033
15,Northern Rockies,unknown root disease or decay,5734,516.06,0.03
15,Northern Rockies,unknown defoliator,5711,513.99,0.03
15,Northern Rockies,frost,4700,423.0,0.025
15,Northern Rockies,western tent caterpillar,4465,401.85,0.024
15,Northern Rockies,ponderosa pine sawfly,4290,386.1,0.023
15,Northern Rockies,Gelechiid moths/needleminers,3842,345.78,0.02
15,Northern Rockies,pine needle scale,3361,302.49,0.018
15,Northern Rockies,flooding-high water,2605,234.45,0.014
15,Northern Rockies,sawflies,2262,203.58,0.012
15,Northern Rockies,silver fir beetle,2015,181.35,0.011
15,Northern Rockies,white pine blister rust,1710,153.9,0.009
15,Northern Rockies,birch leafminer,1502,135.18,0.008
15,Northern Rockies,green larch looper,1077,96.93,0.006
15,Northern Rockies,Lophodermella needle cast of pines,668,60.12,0.004
15,Northern Rockies,Douglas-fir rust,631,56.79,0.003
15,Northern Rockies,no data,265,23.85,0.001
15,Northern Rockies,mud-land slide,252,22.68,0.001
15,Northern Rockies,spruce aphid,216,19.44,0.001
15,Northern Rockies,snow-ice,96,8.64,0.001
15,Northern Rockies,Diplodia canker,75,6.75,0.0
15,Northern Rockies,dieback,58,5.22,0.0
15,Northern Rockies,western oak looper,51,4.59,0.0
15,Northern Rockies,mortality,42,3.78,0.0
15,Northern Rockies,flatheaded fir borer,35,3.15,0.0
15,Northern Rockies,maple decline,9,0.81,0.0
77,North Cascades,western spruce budworm,12191693,1097252.37,37.172
77,North Cascades,mountain pine beetle,9196959,827726.31,28.042
77,North Cascades,fir engraver,2676208,240858.72,8.16
77,North Cascades,spruce beetle,2205252,198472.68,6.724
77,North Cascades,bears,1871364,168422.76,5.706
77,North Cascades,balsam woolly adelgid,1621176,145905.84,4.943
77,North Cascades,Douglas-fir beetle,1246079,112147.11,3.799
77,North Cascades,western balsam bark beetle,1174486,105703.74,3.581
77,North Cascades,fire,826968,74427.12,2.521
77,North Cascades,hemlock decline,699842,62985.78,2.134
77,North Cascades,unknown,654711,58923.99,1.996
77,North Cascades,hemlock looper,303573,27321.57,0.926
77,North Cascades,western pine beetle,217815,19603.35,0.664
77,North Cascades,western blackheaded budworm,160215,14419.35,0.488
77,North Cascades,white pine blister rust,102311,9207.99,0.312
77,North Cascades,silver fir beetle,92830,8354.7,0.283
77,North Cascades,needlecast,92627,8336.43,0.282
77,North Cascades,root disease or bears,57380,5164.2,0.175
77,North Cascades,larch needle cast,53008,4770.72,0.162
77,North Cascades,Douglas-fir tussock moth,45607,4104.63,0.139
77,North Cascades,pine engraver,32580,2932.2,0.099
77,North Cascades,wild fire,29397,2645.73,0.09
77,North Cascades,Douglas-fir engraver,29184,2626.56,0.089
77,North Cascades,foliage discoloration,26314,2368.26,0.08
77,North Cascades,false hemlock looper,26135,2352.15,0.08
77,North Cascades,decline complex,26119,2350.71,0.08
77,North Cascades,black pineleaf scale,26116,2350.44,0.08
77,North Cascades,western tent caterpillar,23902,2151.18,0.073
77,North Cascades,hardwood leaf rusts,20779,1870.11,0.063
77,North Cascades,wind-tornado/hurricane,20289,1826.01,0.062
77,North Cascades,winter injury,20201,1818.09,0.062
77,North Cascades,larch casebearer,19685,1771.65,0.06
77,North Cascades,unknown defoliator,11843,1065.87,0.036
77,North Cascades,mud-land slide,10151,913.59,0.031
77,North Cascades,heat,9746,877.14,0.03
77,North Cascades,frost,8713,784.17,0.027
77,North Cascades,satin moth,8612,775.08,0.026
77,North Cascades,flooding-high water,8583,772.47,0.026
77,North Cascades,root diseases/decay,6600,594.0,0.02
77,North Cascades,ips engraver beetles,6106,549.54,0.019
77,North Cascades,hemlock sawfly,5106,459.54,0.016
77,North Cascades,sawflies,4589,413.01,0.014
77,North Cascades,unknown root disease or decay,2542,228.78,0.008
77,North Cascades,snow-ice,2072,186.48,0.006
77,North Cascades,flatheaded fir borer,1867,168.03,0.006
77,North Cascades,dieback,1711,153.99,0.005
77,North Cascades,pine needle scale,1438,129.42,0.004
77,North Cascades,Gelechiid moths/needleminers,1247,112.23,0.004
77,North Cascades,Lophodermium needle cast of pines,1098,98.82,0.003
77,North Cascades,drought,1044,93.96,0.003
77,North Cascades,Cytospora canker of fir,901,81.09,0.003
77,North Cascades,mortality,425,38.25,0.001
77,North Cascades,Lophodermella needle cast of pines,332,29.88,0.001
77,North Cascades,ponderosa pine sawfly,310,27.9,0.001
77,North Cascades,Douglas-fir rust,273,24.57,0.001
77,North Cascades,pine butterfly,270,24.3,0.001
77,North Cascades,maple decline,255,22.95,0.001
77,North Cascades,western oak looper,217,19.53,0.001
77,North Cascades,no data,148,13.32,0.0
77,North Cascades,spruce aphid,9,0.81,0.0
78,Klamath Mountains/California High North Coast Range,flatheaded fir borer,3763025,338672.25,49.72
78,Klamath Mountains/California High North Coast Range,fir engraver,1642627,147836.43,21.704
78,Klamath Mountains/California High North Coast Range,western pine beetle,1131727,101855.43,14.953
78,Klamath Mountains/California High North Coast Range,flatheaded borer,775759,69818.31,10.25
78,Klamath Mountains/California High North Coast Range,Cytospora canker of fir,462943,41664.87,6.117
78,Klamath Mountains/California High North Coast Range,unknown,455270,40974.3,6.015
78,Klamath Mountains/California High North Coast Range,balsam woolly adelgid,300983,27088.47,3.977
78,Klamath Mountains/California High North Coast Range,bears,127586,11482.74,1.686
78,Klamath Mountains/California High North Coast Range,mountain pine beetle,94972,8547.48,1.255
78,Klamath Mountains/California High North Coast Range,Douglas-fir beetle,55503,4995.27,0.733
78,Klamath Mountains/California High North Coast Range,pine engraver,45167,4065.03,0.597
78,Klamath Mountains/California High North Coast Range,unknown defoliator,32536,2928.24,0.43
78,Klamath Mountains/California High North Coast Range,fire,28115,2530.35,0.371
78,Klamath Mountains/California High North Coast Range,drought,27038,2433.42,0.357
78,Klamath Mountains/California High North Coast Range,Port-Orford-cedar root disease,23735,2136.15,0.314
78,Klamath Mountains/California High North Coast Range,Lophodermella needle cast of pines,21512,1936.08,0.284
78,Klamath Mountains/California High North Coast Range,Douglas-fir engraver,12733,1145.97,0.168
78,Klamath Mountains/California High North Coast Range,Lophodermium needle cast of pines,10273,924.57,0.136
78,Klamath Mountains/California High North Coast Range,heat,9574,861.66,0.126
78,Klamath Mountains/California High North Coast Range,western oak looper,7268,654.12,0.096
78,Klamath Mountains/California High North Coast Range,white pine blister rust,6947,625.23,0.092
78,Klamath Mountains/California High North Coast Range,needlecast,4080,367.2,0.054
78,Klamath Mountains/California High North Coast Range,wild fire,3470,312.3,0.046
78,Klamath Mountains/California High North Coast Range,root disease or bears,3427,308.43,0.045
78,Klamath Mountains/California High North Coast Range,foliage discoloration,2929,263.61,0.039
78,Klamath Mountains/California High North Coast Range,ips engraver beetles,2007,180.63,0.027
78,Klamath Mountains/California High North Coast Range,unknown root disease or decay,1962,176.58,0.026
78,Klamath Mountains/California High North Coast Range,maple decline,1762,158.58,0.023
78,Klamath Mountains/California High North Coast Range,wind-tornado/hurricane,1265,113.85,0.017
78,Klamath Mountains/California High North Coast Range,Swiss needle cast,1012,91.08,0.013
78,Klamath Mountains/California High North Coast Range,decline complex,994,89.46,0.013
78,Klamath Mountains/California High North Coast Range,phantom hemlock looper,924,83.16,0.012
78,Klamath Mountains/California High North Coast Range,oak pit scale A. minus,693,62.37,0.009
78,Klamath Mountains/California High North Coast Range,pandora moth,618,55.62,0.008
78,Klamath Mountains/California High North Coast Range,satin moth,495,44.55,0.007
78,Klamath Mountains/California High North Coast Range,root diseases/decay,453,40.77,0.006
78,Klamath Mountains/California High North Coast Range,snow-ice,435,39.15,0.006
78,Klamath Mountains/California High North Coast Range,hail,275,24.75,0.004
78,Klamath Mountains/California High North Coast Range,Jeffrey pine beetle,253,22.77,0.003
78,Klamath Mountains/California High North Coast Range,Pacific madrone decline,171,15.39,0.002
78,Klamath Mountains/California High North Coast Range,winter injury,132,11.88,0.002
78,Klamath Mountains/California High North Coast Range,pine needle sheathminer,97,8.73,0.001
78,Klamath Mountains/California High North Coast Range,frost,92,8.28,0.001
78,Klamath Mountains/California High North Coast Range,mortality,62,5.58,0.001
78,Klamath Mountains/California High North Coast Range,flooding-high water,40,3.6,0.001
78,Klamath Mountains/California High North Coast Range,spruce aphid,35,3.15,0.0
78,Klamath Mountains/California High North Coast Range,no data,25,2.25,0.0
78,Klamath Mountains/California High North Coast Range,mud-land slide,8,0.72,0.0
