dataset,aoi,year,change_class,Event_type,In_Park,Dist_name,Chnge_type,pct_own_area_outside,centroid_dist_to_aoi_m
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,1.8233291461620473,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,2.9228373940789356,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,11.166965522838318,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,20.095468598406825,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,12.66349959592242,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,13.496270001486682,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Defoliation,Office,N,,,16.46528946946285,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Defoliation,Office,N,,,21.039783524831467,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Defoliation,Office,N,,,35.85871819908952,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Defoliation,Office,N,,,17.385826599203597,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Defoliation,Office,N,,,1.8360191276300504,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Defoliation,Office,N,,,32.98907085436079,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Defoliation,Office,N,,,51.42627779813285,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Defoliation,Office,N,,,4.574698112597332,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Defoliation,Office,N,,,12.327376148501102,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Defoliation,Office,N,,,9.050224937794551,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Defoliation,Office,N,,,0.2120782895093139,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Defoliation,Office,N,,,0.27362877676316455,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Defoliation,Office,N,,,16.84323716585805,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Defoliation,Office,N,,,29.118945424093525,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Defoliation,Office,N,,,2.8563889163536755,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Defoliation,Office,N,,,65.61788073039635,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Defoliation,Office,N,,,39.37098475279168,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Defoliation,Office,N,,,1.6090923768388514,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Defoliation,Office,N,,,25.069641988411323,0.0
