source,subregion,subregion_name,native_class,pixel_count,area_ha,spatial_prevalence_pct
ADS_R6_DCA,4,Cascades,foliage discoloration,22736,2046.24,0.075
ADS_R6_DCA,4,Cascades,western tent caterpillar,22075,1986.75,0.073
ADS_R6_DCA,4,Cascades,hail,18669,1680.21,0.062
ADS_R6_DCA,4,Cascades,needleminers,18519,1666.71,0.061
ADS_R6_DCA,4,Cascades,sawflies,17352,1561.68,0.058
ADS_R6_DCA,4,Cascades,unknown defoliator,16068,1446.12,0.053
ADS_R6_DCA,4,Cascades,pine engraver,14401,1296.09,0.048
ADS_R6_DCA,4,Cascades,flooding-high water,9336,840.24,0.031
ADS_R6_DCA,4,Cascades,wind-tornado/hurricane,9108,819.72,0.03
ADS_R6_DCA,4,Cascades,decline complex,8902,801.18,0.03
ADS_R6_DCA,4,Cascades,unknown root disease or decay,7435,669.15,0.025
ADS_R6_DCA,4,Cascades,spruce beetle,6185,556.65,0.02
ADS_R6_DCA,4,Cascades,western blackheaded budworm,5297,476.73,0.018
ADS_R6_DCA,4,Cascades,ips engraver beetles,5276,474.84,0.017
ADS_R6_DCA,4,Cascades,Douglas-fir tussock moth,5060,455.4,0.017
ADS_R6_DCA,4,Cascades,maple decline,4479,403.11,0.015
ADS_R6_DCA,4,Cascades,Gelechiid moths/needleminers,4388,394.92,0.015
ADS_R6_DCA,4,Cascades,snow-ice,4188,376.92,0.014
ADS_R6_DCA,4,Cascades,no data,3925,353.25,0.013
ADS_R6_DCA,4,Cascades,hemlock sawfly,3861,347.49,0.013
ADS_R6_DCA,4,Cascades,lodgepole sawfly,3805,342.45,0.013
ADS_R6_DCA,4,Cascades,mud-land slide,3714,334.26,0.012
ADS_R6_DCA,4,Cascades,mortality,2698,242.82,0.009
ADS_R6_DCA,4,Cascades,black pineleaf scale,2485,223.65,0.008
ADS_R6_DCA,4,Cascades,satin moth,601,54.09,0.002
ADS_R6_DCA,4,Cascades,false hemlock looper,551,49.59,0.002
ADS_R6_DCA,4,Cascades,pine needle sheathminer,433,38.97,0.001
ADS_R6_DCA,4,Cascades,Diplodia canker,324,29.16,0.001
ADS_R6_DCA,4,Cascades,Cooley spruce gall adelgid,150,13.5,0.0
ADS_R6_DCA,4,Cascades,Port-Orford-cedar root disease,141,12.69,0.0
ADS_R6_DCA,4,Cascades,pandora moth,117,10.53,0.0
ADS_R6_DCA,4,Cascades,Douglas-fir budmoth,109,9.81,0.0
ADS_R6_DCA,4,Cascades,Pacific madrone decline,96,8.64,0.0
ADS_R6_DCA,9,Eastern Cascades Slopes and Foothills,mountain pine beetle,16840802,1515672.18,40.823
ADS_R6_DCA,9,Eastern Cascades Slopes and Foothills,western spruce budworm,9193514,827416.26,22.286
ADS_R6_DCA,9,Eastern Cascades Slopes and Foothills,fir engraver,9029158,812624.22,21.887
ADS_R6_DCA,9,Eastern Cascades Slopes and Foothills,western pine beetle,4535665,408209.85,10.995
ADS_R6_DCA,9,Eastern Cascades Slopes and Foothills,Douglas-fir beetle,880275,79224.75,2.134
ADS_R6_DCA,9,Eastern Cascades Slopes and Foothills,pandora moth,686527,61787.43,1.664
ADS_R6_DCA,9,Eastern Cascades Slopes and Foothills,needlecast,680565,61250.85,1.65
ADS_R6_DCA,9,Eastern Cascades Slopes and Foothills,balsam woolly adelgid,418260,37643.4,1.014
ADS_R6_DCA,9,Eastern Cascades Slopes and Foothills,fire,326190,29357.1,0.791
ADS_R6_DCA,9,Eastern Cascades Slopes and Foothills,Modoc budworm,323070,29076.3,0.783
ADS_R6_DCA,9,Eastern Cascades Slopes and Foothills,western balsam bark beetle,248438,22359.42,0.602
ADS_R6_DCA,9,Eastern Cascades Slopes and Foothills,pine engraver,237608,21384.72,0.576
ADS_R6_DCA,9,Eastern Cascades Slopes and Foothills,larch casebearer,207781,18700.29,0.504
ADS_R6_DCA,9,Eastern Cascades Slopes and Foothills,ips engraver beetles,202005,18180.45,0.49
ADS_R6_DCA,9,Eastern Cascades Slopes and Foothills,larch needle cast,191607,17244.63,0.464
ADS_R6_DCA,9,Eastern Cascades Slopes and Foothills,bears,184588,16612.92,0.447
ADS_R6_DCA,9,Eastern Cascades Slopes and Foothills,wild fire,119744,10776.96,0.29
ADS_R6_DCA,9,Eastern Cascades Slopes and Foothills,lodgepole needleminer,113040,10173.6,0.274
ADS_R6_DCA,9,Eastern Cascades Slopes and Foothills,flatheaded fir borer,96940,8724.6,0.235
ADS_R6_DCA,9,Eastern Cascades Slopes and Foothills,lodgepole sawfly,81366,7322.94,0.197
